200117 235729.340|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\Users\Hunter Han\Documents\IntelliJProgs\pc2lib\exampleDir\bin\logs directory.
200117 235729.340|INFO|AWT-EventQueue-0|info|
200117 235729.340|INFO|AWT-EventQueue-0|info|Version 9.6.0 () Java ver 1.8.0_231 build 5102 Windows 10 10.0 (amd64) 
200117 235729.340|INFO|AWT-EventQueue-0|info|Login: judge1 (aka judge1)
200117 235729.340|INFO|AWT-EventQueue-0|startLog|Working directory is C:\Users\Hunter Han\Documents\IntelliJProgs\pc2lib\exampleDir\bin
200117 235729.340|INFO|AWT-EventQueue-0|startLog|Process id is 98456@DESKTOP-K31L36J
200117 235729.354|INFO|AWT-EventQueue-0|info|Contacting server at localhost:50002 as JUDGE1 @ site 0
200117 235729.354|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from JUDGE1 @ site 0
200117 235729.354|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #3 JUDGE1 @ site 0 -> SERVER0 @ site 0
200117 235729.354|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #3 JUDGE1 @ site 0 -> SERVER0 @ site 0
200117 235729.354|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
200117 235729.354|INFO|Thread-8|run|send(Serializable)
200117 235729.359|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
200117 235729.367|INFO|Thread-9|info| receiveObject(S) start got Packet[LOGIN] #10 SERVER0 @ site 1 -> SERVER0 @ site 0
200117 235729.368|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
200117 235729.368|INFO|Thread-9|dumpPacket|Packet LOGIN (Seq #10, o#10 ) recieveObject
200117 235729.368|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-K31L36J @ 192.168.127.1) (Contest Id: Default-5053916771268647617)
200117 235729.368|INFO|Thread-9|dumpPacket|    To: SERVER0 @ site 0
200117 235729.368|INFO|Thread-9|dumpPacket|   key: CLIENT_SETTINGS is: edu.csus.ecs.pc2.core.model.ClientSettings edu.csus.ecs.pc2.core.model.ClientSettings@26389a68
200117 235729.368|INFO|Thread-9|dumpPacket|   key: CONNECTION_HANDLE_ID is: edu.csus.ecs.pc2.core.transport.ConnectionHandlerID Socket[addr=/127.0.0.1,port=51366,localport=50002]-4277113533511075788
