200117 235734.522|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\Users\Hunter Han\Documents\IntelliJProgs\pc2lib\exampleDir\bin\logs directory.
200117 235734.522|INFO|AWT-EventQueue-0|info|
200117 235734.522|INFO|AWT-EventQueue-0|info|Version 9.6.0 () Java ver 1.8.0_231 build 5102 Windows 10 10.0 (amd64) 
200117 235734.522|INFO|AWT-EventQueue-0|info|Login: team9 (aka team9)
200117 235734.522|INFO|AWT-EventQueue-0|startLog|Working directory is C:\Users\Hunter Han\Documents\IntelliJProgs\pc2lib\exampleDir\bin
200117 235734.523|INFO|AWT-EventQueue-0|startLog|Process id is 99028@DESKTOP-K31L36J
200117 235734.537|INFO|AWT-EventQueue-0|info|Contacting server at localhost:50002 as TEAM9 @ site 0
200117 235734.537|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM9 @ site 0
200117 235734.539|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 TEAM9 @ site 0 -> SERVER0 @ site 0
200117 235734.540|INFO|Thread-4|run|send(Serializable)
200117 235734.540|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 TEAM9 @ site 0 -> SERVER0 @ site 0
200117 235734.541|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
200117 235734.554|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
200117 235734.586|INFO|Thread-5|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #11 SERVER0 @ site 1 -> TEAM9 @ site 1
200117 235734.586|INFO|Thread-5|dumpPacket|Packet LOGIN_SUCCESS (Seq #11, o#11 ) recieveObject
200117 235734.586|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-K31L36J @ 192.168.127.1) (Contest Id: Default-5053916771268647617)
200117 235734.586|INFO|Thread-5|dumpPacket|    To: TEAM9 @ site 1
